"Year","Month","Symbol","Volume","MonthlyReturns"
"2015","12","UTX#",5785736.36363636,0.000208189926403479
"2016","01","UTX#",7410668.42105263,-0.0872280345585287
"2016","02","UTX#",9149630,0.101836013873335
"2016","03","UTX#",4691286.36363636,0.0360173424613379
"2016","04","UTX#",3879742.85714286,0.0426573859895198
"2016","05","UTX#",3582238.0952381,-0.0363131246123443
"2016","06","UTX#",4084154.54545455,0.0195864106665276
"2016","07","UTX#",3636235,0.0497318217684215
"2016","08","UTX#",2369056.52173913,-0.0113330348667932
"2016","09","UTX#",3768714.28571429,-0.0453819582561797
"2016","10","UTX#",3874790.47619048,0.00590549688122222
"2016","11","UTX#",3270104.76190476,0.0540117851007027
"2016","12","UTX#",3122428.57142857,0.0176383355398044
"2017","01","UTX#",2968945,0.000456079375210861
"2017","02","UTX#",3009100,0.0262606449429852
"2017","03","UTX#",3032552.17391304,-0.00302091477624222
"2017","04","UTX#",3057800,0.060422411858259
"2017","05","UTX#",2718327.27272727,0.019245322771996
"2017","06","UTX#",2661354.54545455,0.00684368271280333
"2017","07","UTX#",2418035,-0.0289902620410539
"2017","08","UTX#",3144565.2173913,0.0096989249290611
"2017","09","UTX#",5068970,-0.0304042712373358
"2017","10","UTX#",2779663.63636364,0.0317022764225292
"2017","11","UTX#",2624380.95238095,0.014111512874635
"2017","12","UTX#",3097715,0.0503911313327587
"2018","01","UTX#",4345342.85714286,0.0818373821195149
"2018","02","UTX#",6638242.10526316,-0.0236938565598588
"2018","03","UTX#",4643771.42857143,-0.0662016137352198
"2018","04","UTX#",4396442.85714286,-0.0450643632387369
"2018","05","UTX#",3442495.45454545,0.0388680658313554
"2018","06","UTX#",3958266.66666667,0.00168241535800417
"2018","07","UTX#",4119552.38095238,0.0856594962683517
"2018","08","UTX#",3081739.13043478,-0.0297628435349174
"2018","09","UTX#",3533610.52631579,0.0615793530620867
"2018","10","UTX#",4717508.69565217,-0.111579992465011
"2018","11","UTX#",6308009.52380952,-0.0190806115775771
"2018","12","UTX#",6731973.68421053,-0.126066919259914
"2019","01","UTX#",5752685.71428571,0.108846693956607
"2019","02","UTX#",4104768.42105263,0.0643685821441926
"2019","03","UTX#",3698457.14285714,0.0256226726157367
"2019","04","UTX#",2835376.19047619,0.106447368187396
"2019","05","UTX#",2924690.90909091,-0.114367838782618
"2019","06","UTX#",4589045,0.0308788107858251
"2019","07","UTX#",3205422.72727273,0.0261137422040418
"2019","08","UTX#",2766981.81818182,-0.0251497040183379
"2019","09","UTX#",2605175,0.0482186618122225
"2019","10","UTX#",2990452.17391304,0.0517140150721334
"2019","11","UTX#",2463035,0.0331522109355928
"2019","12","UTX#",2669661.9047619,0.00957259137118238
"2015","01","UTX",4899490,-0.00226010200070659
"2015","02","UTX",3215568.42105263,0.0621188792354175
"2015","03","UTX",4117027.27272727,-0.0386351125615715
"2015","04","UTX",3154433.33333333,-0.0294368347958727
"2015","05","UTX",3089985,0.0300659179687499
"2015","06","UTX",3646840.90909091,-0.0532559354893237
"2015","07","UTX",6052190.90909091,-0.0957360742573308
"2015","08","UTX",5897966.66666667,-0.0867311051738416
"2015","09","UTX",5505695.23809524,-0.028599527662114
"2015","10","UTX",4596327.27272727,0.105854658101694
"2015","11","UTX",4118495,-0.0239813080228574
"2015","12","UTX",5785736.36363636,0.000208189926403479
"2016","01","UTX",7410668.42105263,-0.0872280345585287
"2016","02","UTX",9149630,0.101836013873335
"2016","03","UTX",4691286.36363636,0.0360173424613379
"2016","04","UTX",3879742.85714286,0.0426573859895198
"2016","05","UTX",3582238.0952381,-0.0363131246123443
